sample_id,gender
M11051101,2
M11050404,2
M11051105,1
M11051901,2
M11052507,2
M11050514,2
M11060202,2
M11051113,1
M11062914,2
M11052505,2
M11051801,2
M11050413,2
M11050407,1
M11051805,2
M11051907,1
M11060904,2
M11050411,2
M11050510,2
M11051203,1
M11051911,1
M11062504,2
M11051103,1
M11051904,1
M11051108,1
M11060908,2
M11051204,1
M11050402,1
M11051102,1
M11051114,1
M11072711,1
M11052808,2
M11051207,1
M11050506,1
M11051110,2
M11050405,1
M11052812,1
M11050512,2
M11061602,1
M11052806,2
M11051804,2
M11060915,2
M11050513,2
M11051802,1
M11062215,2
M11050409,1
M11072704,2
M11061609,1
M11052508,1
M11050502,2
M11050401,1
M11052503,2
M11051109,2
M11052504,2
M11051112,2
M11072308,2
M11052502,2
M11052509,2
M11050414,2
M11050515,2
M11052814,2
M11052811,1
M11051910,1
M11052813,2
M11050408,1
M11051205,1
M11051906,2
M11060913,2
M11051908,2
M11051206,1
M11051807,1
M11050509,2
M11052801,2
M11072305,2
M11062511,2
M11062908,2
M11050416,2
M11062524,2
M11050507,2
M11050508,2
M11050501,2
M11051806,2
M11051201,2
M11051202,2
M11060103,2
M11061601,2
M11051803,2
M11052809,2
M11060920,2
M11052802,2
M11070602,2
M11050415,1
M11051903,2
M11051209,1
M11060912,2
M11050516,2
M11062205,2
M11050403,1
M11050410,1
M11052506,2
M11050505,2
M11060919,2
M11050504,1
M11050406,1
M11051115,1
M11051106,2
M11051107,2
M11062516,1
M11073013,2
M11072001,2
M11062208,1
M11061508,2
M11060917,1
M11062211,1
M11062507,2
M11062505,2
M11060911,2
M11062517,2
M11052816,1
M11060918,1
M11060906,2
M11081709,1
M11062522,2
M11060109,2
M11072301,2
M11062203,2
M11061509,1
M11070601,1
M11072303,1
M11062523,2
M11081307,1
M11081308,2
M11072321,2
M11070610,2
M11061506,2
M11060901,2
M11062501,1
M11060110,2
M11062905,2
M11060205,2
M11060107,2
M11062510,2
M11072323,1
M11060108,2
M11060914,2
M11052803,2
M11082005,1
M11062913,2
M11060916,1
M11081707,1
M11061503,1
M11060923,2
M11061511,1
M11061505,2
M11080307,1
M11060204,2
M11062912,2
M11062207,2
M11052807,2
M11060114,2
M11062202,1
M11060112,2
M11061604,2
M11062910,2
M11061510,2
M11072307,1
M11071306,2
M11072010,2
M11072322,2
M11062509,2
M11073002,1
M11081310,1
M11062512,1
M11062518,1
M11070608,2
M11060111,2
M11062213,1
M11052817,2
M11062206,2
M11073004,1
M11072318,2
M11060907,2
M11060113,2
M11072319,1
M11060909,2
M11072304,2
M11081314,2
M11081315,1
M11081301,2
M11072701,2
M11061507,1
M11052501,1
M11062210,2
M11060905,1
M11060102,1
M11060902,1
M11060104,2
M11060105,2
M11073019,2
M11072313,2
M11072314,2
M11062214,1
M11082015,2
M11062515,2
M11072007,2
M11061607,1
M11052810,2
M11061606,2
M11060207,2
M11062909,1
M11081715,2
M11082404,2
M11072003,2
M11082402,2
M11072316,2
M11070609,2
M11072302,2
M11072705,2
M11060201,1
M11062902,1
M11072710,2
M11072004,2
M11072320,2
M11070606,2
M11071308,2
M11081312,2
M11072311,2
M11082018,1
M11081316,1
M11072006,1
M11072706,2
M11060206,2
M11062904,1
M11070607,2
M11081704,1
M11081706,1
M11071310,2
M11071301,2
M11061605,1
M11072011,1
M11081304,2
M11080306,2
M11073011,2
M11072708,2
M11072703,2
M11072002,2
M11081702,2
M11080302,2
M11070605,1
M11082004,1
M11071303,2
M11070604,1
M11072009,2
M11073010,1
M11071305,1
M11073009,2
M11082409,1
M11082401,2
M11062906,2
M11082019,1
M11082007,1
M11062204,1
M11071309,1
M11072008,1
M11081311,1
M11073016,2
M11072312,2
M11082011,1
M11062901,2
M11081703,1
M11062907,2
M11082009,2
M11073014,1
M11071304,2
M11073012,2
M11072702,1
M11081710,2
M11082403,1
M11081305,2
M11081714,2
M11073008,1
M11082006,2
M11082405,2
M11082003,1
M11080305,2
M11081705,2
M11073001,2
M11071307,2
M11073006,2
M11082406,2
M11082021,2
M11072306,2
M11072707,2
M11070603,1
M11082410,2
M11081713,1
M11081303,1
M11061608,2
M11062911,1
M11082014,2
M11081712,2
M11072709,2
M11052805,2
M11082016,2
M11082012,2
M11082008,1
M11072317,1
M11082013,1
M11073017,2
M11082407,1
M11073015,2
M11060903,1
M11082010,1
M11073003,1
M11082001,2
M11072309,2
M11081711,1
M11060203,1
M11071302,1
M11081306,1
